Date,Close (USD/oz)
 15-Aug-2024,2578.57
 16-Jul-2024,2449.54
 16-Jun-2024,2422.57
 17-May-2024,2332.81
 17-Apr-2024,2377.95
 18-Mar-2024,2382.53
 17-Feb-2024,2156.67
 18-Jan-2024,2013.40
 19-Dec-2023,2009.74
 19-Nov-2023,2027.71
 20-Oct-2023,1980.86
 20-Sep-2023,1977.21
 21-Aug-2023,1931.49
 22-Jul-2023,1889.86
 22-Jun-2023,1961.80
 23-May-2023,1933.93
 23-Apr-2023,1969.88
 24-Mar-2023,1983.18
 22-Feb-2023,1991.41
 23-Jan-2023,1835.65
 24-Dec-2022,1927.35
 24-Nov-2022,1798.06
 25-Oct-2022,1752.37
 25-Sep-2022,1651.82
 26-Aug-2022,1644.17
 27-Jul-2022,1756.47
 27-Jun-2022,1718.07
 28-May-2022,1831.27
 28-Apr-2022,1853.91
 29-Mar-2022,1885.72
 27-Feb-2022,1924.21
 28-Jan-2022,1889.40
 29-Dec-2021,1797.24
 29-Nov-2021,1806.71
 30-Oct-2021,1795.46
 30-Sep-2021,1783.43
 31-Aug-2021,1728.90
 01-Aug-2021,1810.52
 02-Jul-2021,1814.25
 02-Jun-2021,1775.70
 03-May-2021,1898.94
 03-Apr-2021,1769.15
 04-Mar-2021,1735.14
 02-Feb-2021,1710.55
 03-Jan-2021,1857.50
 04-Dec-2020,1898.40
 04-Nov-2020,1839.88
 05-Oct-2020,1914.37
 05-Sep-2020,1903.11
 06-Aug-2020,1933.63
 07-Jul-2020,2036.58
 07-Jun-2020,1785.90
 08-May-2020,1685.34
 08-Apr-2020,1714.26
 09-Mar-2020,1648.61
 08-Feb-2020,1700.17
 09-Jan-2020,1569.95
 10-Dec-2019,1557.97
 10-Nov-2019,1461.23
 11-Oct-2019,1459.00
 11-Sep-2019,1494.11
 12-Aug-2019,1487.12
 13-Jul-2019,1501.29
 13-Jun-2019,1415.69
 14-May-2019,1333.68
 14-Apr-2019,1301.73
 15-Mar-2019,1290.58
 13-Feb-2019,1296.18
 14-Jan-2019,1310.32
 15-Dec-2018,1288.17
 15-Nov-2018,1238.77
 16-Oct-2018,1211.04
 16-Sep-2018,1226.92
 17-Aug-2018,1193.94
 18-Jul-2018,1175.29
 18-Jun-2018,1227.24
 19-May-2018,1281.10
 19-Apr-2018,1293.30
 20-Mar-2018,1350.70
 18-Feb-2018,1317.18
 19-Jan-2018,1347.28
 20-Dec-2017,1327.95
 20-Nov-2017,1261.93
 21-Oct-2017,1293.52
 21-Sep-2017,1280.52
 22-Aug-2017,1298.86
 23-Jul-2017,1291.69
 23-Jun-2017,1254.95
 24-May-2017,1251.46
 24-Apr-2017,1251.06
 25-Mar-2017,1274.26
 23-Feb-2017,1243.31
 24-Jan-2017,1236.99
 25-Dec-2016,1217.49
 25-Nov-2016,1171.18
 26-Oct-2016,1186.29
 26-Sep-2016,1274.51
 27-Aug-2016,1338.48
 28-Jul-2016,1321.20
 28-Jun-2016,1339.80
 29-May-2016,1324.69
 29-Apr-2016,1213.03
 30-Mar-2016,1265.70
 29-Feb-2016,1239.19
 30-Jan-2016,1221.44
 31-Dec-2015,1118.22
 01-Dec-2015,1061.98
 01-Nov-2015,1064.33
 02-Oct-2015,1142.05
 02-Sep-2015,1113.84
 03-Aug-2015,1138.97
 04-Jul-2015,1093.40
 04-Jun-2015,1168.61
 05-May-2015,1185.75
 05-Apr-2015,1188.54
 06-Mar-2015,1202.62
 04-Feb-2015,1200.29
 05-Jan-2015,1261.65
 06-Dec-2014,1183.50
 06-Nov-2014,1192.30
 07-Oct-2014,1143.59
 07-Sep-2014,1206.68
 08-Aug-2014,1268.92
 09-Jul-2014,1311.29
 09-Jun-2014,1318.20
 10-May-2014,1254.20
 10-Apr-2014,1288.81
 11-Mar-2014,1311.21
 09-Feb-2014,1340.55
 10-Jan-2014,1267.25
 11-Dec-2013,1229.05
 11-Nov-2013,1261.35
 12-Oct-2013,1287.54
 12-Sep-2013,1273.42
 13-Aug-2013,1365.23
 14-Jul-2013,1333.36
 14-Jun-2013,1286.54
 15-May-2013,1386.06
 15-Apr-2013,1430.40
 16-Mar-2013,1490.29
 14-Feb-2013,1592.23
 15-Jan-2013,1643.34
 16-Dec-2012,1668.58
 16-Nov-2012,1696.03
 17-Oct-2012,1715.91
 17-Sep-2012,1749.75
 18-Aug-2012,1774.74
 19-Jul-2012,1615.91
 19-Jun-2012,1574.09
 20-May-2012,1628.28
 20-Apr-2012,1592.67
 21-Mar-2012,1641.94
 20-Feb-2012,1650.12
 21-Jan-2012,1733.50
 22-Dec-2011,1667.03
 22-Nov-2011,1612.85
 23-Oct-2011,1678.70
 23-Sep-2011,1641.90
 24-Aug-2011,1742.18
 25-Jul-2011,1837.68
 25-Jun-2011,1616.49
 26-May-2011,1501.97
 26-Apr-2011,1526.47
 27-Mar-2011,1506.77
 25-Feb-2011,1430.00
 26-Jan-2011,1403.72
 27-Dec-2010,1332.37
 27-Nov-2010,1374.39
 28-Oct-2010,1364.12
 28-Sep-2010,1327.71
 29-Aug-2010,1293.19
 30-Jul-2010,1238.31
 30-Jun-2010,1168.10
 31-May-2010,1241.08
 01-May-2010,1210.97
 01-Apr-2010,1179.47
 02-Mar-2010,1113.11
 31-Jan-2010,1118.38
 01-Jan-2010,1081.48
 02-Dec-2009,1097.52
 02-Nov-2009,1196.67
 03-Oct-2009,1042.87
 03-Sep-2009,1002.84
 04-Aug-2009,976.74
 05-Jul-2009,956.28
 05-Jun-2009,932.72
 06-May-2009,978.24
 06-Apr-2009,897.62
 07-Mar-2009,892.64
 05-Feb-2009,939.45
 06-Jan-2009,905.64
 07-Dec-2008,857.03
 07-Nov-2008,756.24
 08-Oct-2008,732.55
 08-Sep-2008,889.02
 09-Aug-2008,812.79
 10-Jul-2008,856.55
 10-Jun-2008,928.80
 11-May-2008,893.58
 11-Apr-2008,885.08
 12-Mar-2008,928.42
 11-Feb-2008,972.62
 12-Jan-2008,920.48
 13-Dec-2007,895.90
 13-Nov-2007,811.79
 14-Oct-2007,791.45
 14-Sep-2007,750.34
 15-Aug-2007,706.82
 16-Jul-2007,670.03
 16-Jun-2007,667.33
 17-May-2007,655.81
 17-Apr-2007,662.46
 18-Mar-2007,690.67
 16-Feb-2007,654.05
 17-Jan-2007,668.68
 18-Dec-2006,624.48
 18-Nov-2006,615.89
 19-Oct-2006,621.79
 19-Sep-2006,592.25
 20-Aug-2006,587.85
 21-Jul-2006,613.05
 21-Jun-2006,627.40
 22-May-2006,578.55
 22-Apr-2006,657.65
 23-Mar-2006,633.72
 21-Feb-2006,550.88